2021-04-23 11:06:27,210  INFO | main | it.vinicioflamini.omt.order.OrderServiceApplication    | Starting OrderServiceApplication on DESKTOP-VOMVIUL with PID 5304 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\order-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\order-service) 
2021-04-23 11:51:14,049  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:51:14,049  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:51:20,969  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:51:20,969  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:51:23,323  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:51:23,323  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:51:26,534  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:51:26,534  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:51:27,537  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:51:27,537  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:59:26,108  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:59:26,108  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:01:06,703  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:01:06,703  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:01:10,059  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:01:10,059  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:01:12,489  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:01:12,489  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:01:54,218  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:01:54,218  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:01:57,772  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:01:57,772  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:02:03,176  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:02:03,176  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:02:04,999  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:02:04,999  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:02:24,349  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:02:24,350  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:02:26,891  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:02:26,891  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:02:28,389  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:02:28,389  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:02:37,157  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
