2021-04-23 11:07:30,188  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Starting ShippingServiceApplication on DESKTOP-VOMVIUL with PID 1900 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service) 
2021-04-23 13:46:30,378  INFO | http-nio-8895-exec-3 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentFailedEvent" for order 234 
2021-04-23 13:46:30,424  INFO | http-nio-8895-exec-4 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,424  INFO | http-nio-8895-exec-4 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,454  INFO | http-nio-8895-exec-5 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,454  INFO | http-nio-8895-exec-5 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,470  INFO | http-nio-8895-exec-7 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,470  INFO | http-nio-8895-exec-7 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,486  INFO | http-nio-8895-exec-6 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
2021-04-23 13:46:30,486  INFO | http-nio-8895-exec-6 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentFailedEvent" for order 234 
2021-04-23 13:46:30,496  INFO | http-nio-8895-exec-8 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
2021-04-23 13:46:30,496  INFO | http-nio-8895-exec-8 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentFailedEvent" for order 234 
2021-04-23 13:46:30,502  INFO | http-nio-8895-exec-10 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
2021-04-23 13:46:30,502  INFO | http-nio-8895-exec-10 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentFailedEvent" for order 234 
2021-04-23 13:46:30,517  INFO | http-nio-8895-exec-9 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
2021-04-23 13:46:30,517  INFO | http-nio-8895-exec-9 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentFailedEvent" for order 234 
2021-04-23 13:46:30,532  INFO | http-nio-8895-exec-2 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,532  INFO | http-nio-8895-exec-2 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,547  INFO | http-nio-8895-exec-1 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
2021-04-23 13:46:30,547  INFO | http-nio-8895-exec-1 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentFailedEvent" for order 234 
2021-04-23 13:46:30,555  INFO | http-nio-8895-exec-3 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,556  INFO | http-nio-8895-exec-3 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,579  INFO | http-nio-8895-exec-4 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,579  INFO | http-nio-8895-exec-4 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,595  INFO | http-nio-8895-exec-5 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,595  INFO | http-nio-8895-exec-5 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,626  INFO | http-nio-8895-exec-7 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,626  INFO | http-nio-8895-exec-7 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,705  INFO | http-nio-8895-exec-6 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,705  INFO | http-nio-8895-exec-6 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:51:55,185  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Starting ShippingServiceApplication on DESKTOP-VOMVIUL with PID 12052 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service) 
2021-04-23 13:51:55,185 DEBUG | main | i.v.omt.shipping.ShippingServiceApplication            | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 13:51:55,185  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | The following profiles are active: dev 
2021-04-23 13:51:58,951  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Started ShippingServiceApplication in 4.564 seconds (JVM running for 5.536) 
2021-04-23 13:54:03,201  INFO | http-nio-8895-exec-2 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:54:03,201  INFO | http-nio-8895-exec-2 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:57:42,721  INFO | http-nio-8895-exec-3 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
