2021-04-23 10:32:10,792  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | Starting InventoryServiceApplication on DESKTOP-VOMVIUL with PID 8180 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service) 
2021-04-23 13:28:48,360  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:28:50,091  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:28:50,091  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:28:51,467  INFO | http-nio-8894-exec-7 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:28:51,467  INFO | http-nio-8894-exec-7 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:28:52,339  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:28:52,339  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:29:12,322  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:29:12,322  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:30:14,298  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | Starting InventoryServiceApplication on DESKTOP-VOMVIUL with PID 3536 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service) 
2021-04-23 13:30:14,298 DEBUG | main | i.v.omt.inventory.InventoryServiceApplication          | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 13:30:14,298  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | The following profiles are active: dev 
2021-04-23 13:30:18,018  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | Started InventoryServiceApplication in 4.327 seconds (JVM running for 5.316) 
2021-04-23 13:30:37,590  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:30:37,590  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:30:39,375  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:30:39,375  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:30:50,762  INFO | http-nio-8894-exec-4 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:30:50,762  INFO | http-nio-8894-exec-4 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:30:53,146  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:30:53,146  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
