2021-04-23 11:05:37,515  INFO | main | i.v.omt.notification.NotificationServiceApplication    | Starting NotificationServiceApplication on DESKTOP-VOMVIUL with PID 12044 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service) 
2021-04-23 11:38:41,027  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:41,735  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:41,735  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:43,395  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:43,395  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:44,969  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:44,969  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:50,368  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:50,368  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:51,104  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:51,104  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:39:41,674  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:39:41,674  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:39:44,853  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:39:44,853  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:39:46,307  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:39:46,307  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:39:59,909  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:39:59,909  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:40:01,517  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:40:01,517  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:40:11,575  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:40:11,575  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:40:19,148  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:40:19,148  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:40:22,094  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:40:22,094  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:40:39,968  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:40:39,968  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:40:41,392  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:40:41,392  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:40:42,306  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:40:42,306  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:40:43,003  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:40:43,003  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:42:52,527  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:42:52,527  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:45:59,823  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:46:02,508  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:53:22,257  INFO | main | i.v.omt.notification.NotificationServiceApplication    | Starting NotificationServiceApplication on DESKTOP-VOMVIUL with PID 5380 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service) 
2021-04-23 11:53:22,257 DEBUG | main | i.v.omt.notification.NotificationServiceApplication    | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
